#Selection name: Selection 4
#Area (µm^2): 3190188.54
Cell ID,Cluster,Transcripts,Area (µm^2)
hfbnkmgm-1,Cluster 2,2,30.44
hfangmdg-1,Cluster 2,0,94.92
hfekhchn-1,Cluster 1,0,118.08
hfbdanbe-1,Cluster 2,0,71.57
kmcecbae-1,Cluster 2,1,52.61
hfdhdjmm-1,Cluster 2,0,38.79
kllkclid-1,Cluster 2,1,65.12
kllgmflg-1,Cluster 2,3,82.09
hfbgfapg-1,Cluster 2,0,58.03
hfbgapha-1,Cluster 2,3,75.64
oeaifgnj-1,Cluster 2,1,8.49
kllknjhp-1,Cluster 2,0,61.64
klkgfcgo-1,Cluster 2,0,63.35
kllkdiog-1,Cluster 2,0,62.41
hfbcicce-1,Cluster 2,0,20.91
hfdlhfde-1,Cluster 2,1,37.21
kllkmklk-1,Cluster 2,0,53.33
klljfjic-1,Cluster 2,0,73.42
kllgabdd-1,Cluster 2,0,81.33
knaccbkb-1,Cluster 2,0,102.37
klknnena-1,Cluster 1,0,317.13
knaebpmp-1,Cluster 2,0,65.61
knagagpg-1,Cluster 2,0,97.00
kmcgeloo-1,Cluster 2,0,84.08
oeaijbai-1,Cluster 2,1,11.83
knaomcll-1,Cluster 2,1,24.16
klllhjfo-1,Cluster 2,0,22.44
hfdogdmh-1,Cluster 2,0,55.05
hfeimlgg-1,Cluster 1,0,93.29
hfclecjo-1,Cluster 2,3,87.33
hfefmidf-1,Cluster 2,1,67.87
hfekhecb-1,Cluster 1,0,54.32
hfbbppik-1,Cluster 2,0,44.57
hfbanjkf-1,Cluster 1,0,89.68
hfehmhhc-1,Cluster 2,0,71.08
kmcgebfg-1,Cluster 2,0,3.34
aaleaafb-1,Cluster 2,5,67.60
hfbklcdi-1,Cluster 2,0,38.74
hfbgmlml-1,Cluster 2,0,26.24
knadgaee-1,Cluster 2,0,69.63
hfbicphm-1,Cluster 2,1,33.55
klipomme-1,Cluster 2,0,68.05
lemgflol-1,Cluster 2,3,55.81
klllkiaf-1,Cluster 1,0,55.68
hfgcllll-1,Cluster 1,0,48.05
hfghgegh-1,Cluster 2,0,54.46
hfgaemoa-1,Cluster 1,3,175.16
hfgkaoda-1,Cluster 2,2,61.73
klmcpjha-1,Cluster 1,1,80.47
lemidhld-1,Cluster 2,1,78.35
lemjdjch-1,Cluster 2,0,66.47
hfgfleff-1,Cluster 2,2,78.12
hemlgkhk-1,Cluster 2,0,57.66
hfbdciep-1,Cluster 2,0,69.68
lemhpjoo-1,Cluster 2,1,64.26
hfgjpkja-1,Cluster 2,1,98.80
hffpdfao-1,Cluster 2,1,77.08
hemomokd-1,Cluster 2,0,79.25
oeajioaf-1,Cluster 2,0,166.90
helophlf-1,Cluster 2,1,40.78
hffnoeed-1,Cluster 1,1,97.00
leoklcnk-1,Cluster 2,2,62.90
hfggehni-1,Cluster 2,0,17.57
heljgnmp-1,Cluster 2,0,65.75
hemjpmlb-1,Cluster 2,0,77.67
hemekchi-1,Cluster 2,1,82.00
hembppkg-1,Cluster 2,0,59.61
gnfehjie-1,Cluster 2,0,35.45
gnfhcbgc-1,Cluster 1,0,209.12
hemncokl-1,Cluster 2,0,56.04
hemjldnd-1,Cluster 2,2,74.42
hfgijilk-1,Cluster 2,0,63.58
hemomnen-1,Cluster 1,0,216.43
oeaemdol-1,Cluster 2,0,200.45
kljcdofp-1,Cluster 2,0,18.11
leoomcjl-1,Cluster 2,1,40.14
hemjabmo-1,Cluster 2,0,53.65
hfaofpjd-1,Cluster 2,0,33.37
leommhgg-1,Cluster 2,0,17.84
hfgblbld-1,Cluster 1,0,109.41
leolijnc-1,Cluster 2,0,52.20
hemlahng-1,Cluster 2,0,65.21
hemicnlo-1,Cluster 2,0,14.68
helchnnm-1,Cluster 2,0,34.05
klipjdcf-1,Cluster 2,0,41.32
hemjckle-1,Cluster 2,0,54.14
ogedakcg-1,Cluster 2,0,83.95
leojdbnl-1,Cluster 2,0,39.96
helgabjf-1,Cluster 2,0,38.47
leoimodl-1,Cluster 2,0,70.13
hemcgobc-1,Cluster 2,0,24.88
lemiocif-1,Cluster 2,1,54.82
leogndme-1,Cluster 2,3,63.40
hffojagj-1,Cluster 2,0,67.96
hfancogl-1,Cluster 2,0,44.89
leogjjpa-1,Cluster 2,0,83.86
leodjlgh-1,Cluster 2,0,72.48
knaokjmh-1,Cluster 2,0,21.00
hemdcpga-1,Cluster 2,0,43.67
hfgcbhie-1,Cluster 1,0,50.94
helkndom-1,Cluster 2,1,83.04
hemekeae-1,Cluster 2,0,78.21
helgdcep-1,Cluster 2,1,64.53
oeadabeg-1,Cluster 2,0,56.63
hfeofkbe-1,Cluster 1,1,46.74
aaneknaa-1,Cluster 1,0,55.36
hfhfdcbd-1,Cluster 1,3,127.52
hfkahbce-1,Cluster 1,0,41.27
mhkdgkmn-1,Cluster 1,2,145.22
hfhkhiha-1,Cluster 1,0,76.49
hfenldgd-1,Cluster 1,1,139.58
hfhldndm-1,Cluster 1,2,61.37
hemgcgmj-1,Cluster 2,0,22.71
mhkgaaij-1,Cluster 1,0,16.21
hfelnkbe-1,Cluster 1,0,135.74
hfeokakp-1,Cluster 1,1,79.48
hffcongm-1,Cluster 1,1,133.53
hfjbdehl-1,Cluster 1,0,133.35
hffdnalg-1,Cluster 1,0,106.39
hfepbckn-1,Cluster 1,0,74.24
hfhdioji-1,Cluster 1,2,181.53
hfhbbpgi-1,Cluster 1,0,26.51
hfiofbjb-1,Cluster 1,3,161.21
hfinedai-1,Cluster 1,1,196.84
gnfhjjao-1,Cluster 1,0,248.81
hffbbael-1,Cluster 1,0,33.91
hfinlcbh-1,Cluster 1,1,125.58
hfgmcelm-1,Cluster 1,0,21.68
hfgdnfoi-1,Cluster 1,0,117.54
hfgfaonh-1,Cluster 1,0,189.93
hfiilhaj-1,Cluster 1,2,133.98
hfipljnn-1,Cluster 1,1,92.98
hfhnjanj-1,Cluster 1,0,110.59
hekkgppp-1,Cluster 1,0,324.90
hfjaiing-1,Cluster 1,0,116.59
hfgdkiem-1,Cluster 1,1,59.15
hfgljmbb-1,Cluster 1,0,101.47
hfhecbba-1,Cluster 1,0,105.08
hfepjloh-1,Cluster 1,2,65.66
hfhmkghj-1,Cluster 1,0,45.70
oeabceke-1,Cluster 2,0,111.76
hfigbphc-1,Cluster 1,0,26.60
hfgffpli-1,Cluster 1,0,152.04
gnfeoimo-1,Cluster 2,1,64.30
hfijannj-1,Cluster 1,0,75.77
hemfkhbd-1,Cluster 2,0,30.16
gnfhppfk-1,Cluster 2,0,78.57
hfihefek-1,Cluster 1,2,64.89
hfiklhio-1,Cluster 1,1,97.18
hfepmkkb-1,Cluster 1,0,115.46
hfkbadii-1,Cluster 1,2,100.38
hfigbpgi-1,Cluster 1,5,97.90
hfhpobnp-1,Cluster 1,0,57.85
hfhpappo-1,Cluster 1,0,96.05
hfhfnclc-1,Cluster 1,0,176.52
hfidmfdf-1,Cluster 1,0,76.27
hfidepji-1,Cluster 1,0,65.21
hffgkkab-1,Cluster 1,0,111.36
hffmpgpo-1,Cluster 1,0,116.64
hemflhoj-1,Cluster 1,1,173.04
mhkcmamf-1,Cluster 1,0,128.74
hffjbnlg-1,Cluster 1,0,15.08
hffgnmki-1,Cluster 2,0,9.21
hfiabann-1,Cluster 1,0,123.68
klinmaof-1,Cluster 1,0,71.98
kljchbcl-1,Cluster 1,0,92.62
kliljdac-1,Cluster 1,0,43.30
klgpbgol-1,Cluster 1,0,58.39
klgmkcba-1,Cluster 1,1,83.22
klgkncep-1,Cluster 1,1,163.83
klhbjlpa-1,Cluster 1,2,148.97
kliobiin-1,Cluster 1,0,208.44
klioehlj-1,Cluster 1,0,47.87
klggdoah-1,Cluster 1,2,52.34
klgenlaf-1,Cluster 1,0,42.67
kliokopa-1,Cluster 1,1,32.47
ogeffkpd-1,Cluster 2,0,118.17
klgchfin-1,Cluster 1,0,142.56
klipfnfm-1,Cluster 1,2,28.81
klgdccko-1,Cluster 1,0,65.03
kmbdmmpk-1,Cluster 1,1,47.50
klfjfjle-1,Cluster 1,1,146.94
kmaocpeh-1,Cluster 1,0,72.97
klfkligc-1,Cluster 1,1,49.04
klfmaggk-1,Cluster 1,0,49.18
kmbegmga-1,Cluster 1,0,75.91
kljdompc-1,Cluster 1,0,117.41
klfmedlj-1,Cluster 1,0,13.14
klhpkkal-1,Cluster 1,1,160.94
klfjfhpj-1,Cluster 1,0,173.45
klfobcoe-1,Cluster 1,0,131.04
klhokhpd-1,Cluster 1,3,43.40
klhnjofh-1,Cluster 1,1,105.80
klfonkbc-1,Cluster 1,1,103.68
klfkhana-1,Cluster 1,0,75.00
klhlfeep-1,Cluster 1,0,55.18
klgacedj-1,Cluster 1,1,136.69
kljegefn-1,Cluster 2,0,7.72
kljehnof-1,Cluster 1,2,142.06
klgocdko-1,Cluster 1,1,175.61
kljfdjkh-1,Cluster 1,1,125.53
klhmpgkj-1,Cluster 1,1,139.71
klhncocp-1,Cluster 1,1,97.36
klhpbadf-1,Cluster 1,1,55.23
kliagafp-1,Cluster 1,3,169.29
klihlfjn-1,Cluster 1,1,137.41
klijhjam-1,Cluster 1,0,89.73
klijkoko-1,Cluster 1,0,180.58
kliijafa-1,Cluster 1,0,93.29
klhlbeln-1,Cluster 1,0,45.65
kliieimd-1,Cluster 1,1,170.60
klifnbgl-1,Cluster 1,1,189.48
klgbmgke-1,Cluster 1,3,88.82
klienboc-1,Cluster 1,1,152.49
klieiill-1,Cluster 1,2,191.73
kliegncp-1,Cluster 1,0,43.21
klidccbk-1,Cluster 1,0,106.57
klicjknj-1,Cluster 2,3,83.00
kljapmcm-1,Cluster 1,0,63.35
klhponnh-1,Cluster 1,1,99.43
klhaeagb-1,Cluster 1,0,14.72
klifbbdc-1,Cluster 1,3,175.79
klikalda-1,Cluster 1,0,72.11
kllgjdgo-1,Cluster 2,0,43.58
kmccaoop-1,Cluster 2,0,35.67
knapjjfo-1,Cluster 2,0,45.29
mhkdnncp-1,Cluster 1,0,63.22
